Region,Destination_Name,Destination_Type,Total_Days,Total_Persons,Budget_Per_Person
Central,Bhopal,Desert,3,3,17470
Northeast,Shillong Peak,Trekking,3,5,27433
South,Mysore,Urban/City,6,7,9218
East,Gangtok,Historical,13,3,46389
East,Bodh Gaya,Beach,11,9,7806
Central,Khajuraho,Hidden Gem,14,4,52804
South,Pondicherry,Historical,9,1,15550
East,Konark,Hidden Gem,2,12,34801
North,Dalhousie,Historical,15,9,39002
West,Dwarka,Trekking,10,8,9830
South,Goa,Desert,4,10,45346
East,Puri,Wildlife,14,5,50413
Northeast,Tawang,Hidden Gem,2,4,41923
West,Dwarka,Desert,3,3,24141
Central,Bhopal,Historical,9,4,44755
Northeast,Majuli,Desert,12,2,15233
Central,Indore,Trekking,9,3,55963
South,Hampi,Religious,14,12,14481
East,Kolkata,Historical,7,12,53877
South,Alleppey,Urban/City,4,8,22391
North,Shimla,Religious,8,2,15103
South,Munnar,Adventure,9,4,29513
East,Darjeeling,Desert,8,2,6632
South,Hampi,Adventure,11,8,32356
Northeast,Imphal,Hill Station,3,2,42908
North,Leh,Urban/City,14,1,27069
Central,Kanha National Park,Wildlife,10,3,29033
Central,Indore,Historical,8,1,4682
North,Nainital,Historical,10,6,14198
Central,Gwalior,Desert,13,8,4480
Northeast,Majuli,Wildlife,13,7,19975
Northeast,Cherrapunji,Religious,15,3,34793
South,Ooty,Desert,13,12,34214
East,Darjeeling,Hidden Gem,13,5,9133
East,Guwahati,Adventure,5,12,21129
Northeast,Kaziranga,Beach,15,10,49873
Northeast,Shillong Peak,Hill Station,12,3,39611
West,Ahmedabad,Adventure,9,11,51013
Central,Indore,Urban/City,15,12,56131
North,Agra,Desert,5,1,55567
West,Gir National Park,Trekking,14,12,19651
Northeast,Majuli,Historical,15,1,12086
South,Kochi,Urban/City,2,3,18400
North,Kullu,Desert,4,7,58119
West,Dwarka,Hidden Gem,11,3,3181
West,Udaipur,Urban/City,14,10,25797
West,Udaipur,Beach,9,3,23834
North,Kullu,Wildlife,11,8,12918
Northeast,Imphal,Urban/City,15,6,47791
East,Puri,Hill Station,8,4,53797
North,Leh,Urban/City,8,8,27390
North,Rishikesh,Desert,15,11,46411
South,Ooty,Beach,6,1,33338
East,Konark,Hidden Gem,5,6,33259
East,Sundarbans,Beach,12,1,19158
South,Pondicherry,Trekking,13,12,29616
South,Mysore,Religious,2,10,15435
Northeast,Kaziranga,Historical,8,2,4949
East,Puri,Trekking,4,5,37428
North,Rishikesh,Religious,8,5,47887
West,Udaipur,Religious,4,6,28858
South,Hampi,Hill Station,4,1,10134
West,Somnath,Adventure,13,5,47046
West,Udaipur,Wildlife,2,10,23784
Northeast,Dzukou Valley,Hill Station,4,2,46123
South,Kochi,Religious,10,9,21286
North,Leh,Religious,11,5,9189
Northeast,Kaziranga,Adventure,6,12,37220
Central,Pachmarhi,Trekking,9,5,59146
Northeast,Shillong Peak,Historical,14,11,25846
South,Alleppey,Historical,5,6,8610
East,Guwahati,Desert,15,3,3782
North,Manali,Urban/City,3,8,46476
Central,Khajuraho,Historical,10,1,22652
South,Coorg,Religious,12,9,24952
East,Gangtok,Beach,12,4,24376
West,Dwarka,Religious,8,12,16385
Central,Khajuraho,Religious,15,3,39031
West,Udaipur,Beach,15,2,49042
South,Mysore,Adventure,2,8,29852
South,Ooty,Trekking,6,3,21610
North,Agra,Beach,13,2,46939
South,Mysore,Desert,15,6,16448
Central,Pachmarhi,Adventure,13,10,27545
South,Munnar,Beach,3,7,18512
North,Manali,Religious,9,1,27595
North,Dalhousie,Historical,3,4,7380
Northeast,Dzukou Valley,Trekking,9,3,27337
East,Kolkata,Urban/City,9,6,31557
Central,Kanha National Park,Beach,15,7,20435
Central,Pachmarhi,Wildlife,10,8,36927
North,Varanasi,Beach,11,1,32855
East,Bodh Gaya,Wildlife,9,7,5928
South,Goa,Historical,15,7,57523
Northeast,Kaziranga,Desert,4,8,16390
Central,Sanchi,Trekking,5,9,37546
Northeast,Imphal,Trekking,4,5,8680
West,Gir National Park,Wildlife,13,11,57707
East,Konark,Beach,8,3,52000
South,Munnar,Hill Station,11,12,13851
South,Kochi,Hill Station,3,11,30677
South,Goa,Desert,6,3,35471
West,Dwarka,Religious,5,5,32634
West,Gir National Park,Hidden Gem,15,7,32955
North,Jaipur,Desert,4,1,12771
West,Ahmedabad,Desert,13,9,47129
North,Leh,Desert,8,9,9832
West,Somnath,Hill Station,3,9,20643
Northeast,Tawang,Beach,4,9,18545
North,Rishikesh,Trekking,2,8,57652
Central,Khajuraho,Religious,2,11,12030
Central,Khajuraho,Adventure,5,12,36761
Central,Khajuraho,Desert,12,3,4138
Central,Sanchi,Desert,8,7,20599
Northeast,Shillong Peak,Urban/City,11,8,25841
Central,Khajuraho,Hill Station,4,1,47663
East,Konark,Trekking,3,3,15766
Northeast,Majuli,Religious,2,10,21781
South,Ooty,Beach,8,11,21322
Northeast,Majuli,Wildlife,15,4,30704
North,Manali,Desert,13,2,22031
South,Coorg,Beach,13,10,32521
Northeast,Aizawl,Desert,6,11,12139
Central,Bandhavgarh,Hill Station,13,6,27009
South,Hampi,Desert,4,1,55837
Central,Kanha National Park,Historical,9,6,37357
West,Mount Abu,Hidden Gem,8,11,33537
North,Varanasi,Wildlife,8,5,46326
East,Gangtok,Adventure,9,8,10794
South,Hampi,Beach,13,8,58393
East,Bodh Gaya,Religious,8,4,32088
North,Dalhousie,Hill Station,11,3,43934
South,Pondicherry,Historical,15,2,8369
East,Gangtok,Beach,6,5,3272
Northeast,Kaziranga,Religious,2,4,38734
East,Puri,Trekking,12,5,37138
East,Shillong,Desert,2,8,45496
North,Leh,Adventure,4,6,23654
South,Coorg,Hidden Gem,4,11,17212
South,Alleppey,Adventure,6,6,37917
South,Ooty,Desert,13,10,32542
East,Shillong,Historical,5,3,31307
North,Nainital,Trekking,3,7,35479
West,Mumbai,Wildlife,5,2,16985
West,Gir National Park,Religious,7,3,55240
East,Bodh Gaya,Religious,9,1,9399
Central,Pachmarhi,Hidden Gem,15,7,34777
South,Pondicherry,Desert,14,8,5834
East,Puri,Hidden Gem,9,7,40801
East,Puri,Beach,4,7,16434
West,Mumbai,Religious,15,4,30358
East,Sundarbans,Beach,8,3,4465
Central,Gwalior,Hidden Gem,13,7,21157
North,Shimla,Urban/City,15,7,26538
West,Dwarka,Beach,2,11,55519
North,Leh,Hill Station,15,11,16509
South,Hampi,Beach,10,4,32668
West,Gir National Park,Historical,3,2,39816
South,Kochi,Hill Station,4,4,39510
Central,Kanha National Park,Beach,11,11,22687
North,Manali,Hidden Gem,4,1,30365
South,Pondicherry,Desert,12,2,30291
North,Nainital,Trekking,10,5,43454
East,Puri,Urban/City,4,4,44842
Northeast,Ziro Valley,Religious,3,5,43203
Northeast,Ziro Valley,Trekking,12,9,13320
Northeast,Kaziranga,Beach,15,4,54790
West,Udaipur,Trekking,9,7,45684
East,Konark,Historical,12,3,20636
North,Nainital,Wildlife,8,3,47071
Northeast,Aizawl,Adventure,2,8,34289
West,Ahmedabad,Religious,2,2,3850
East,Bodh Gaya,Urban/City,4,6,30887
Northeast,Tawang,Adventure,9,10,30801
West,Mumbai,Hill Station,3,4,13192
North,Rishikesh,Desert,10,8,55816
East,Bodh Gaya,Religious,4,10,39820
Central,Pachmarhi,Wildlife,15,9,34336
East,Bodh Gaya,Beach,12,10,48034
South,Alleppey,Desert,2,12,37941
Northeast,Imphal,Wildlife,3,9,23869
Northeast,Shillong Peak,Hill Station,4,9,10856
West,Gir National Park,Desert,3,10,38022
North,Dalhousie,Historical,4,11,23246
South,Alleppey,Hidden Gem,10,1,20030
North,Rishikesh,Desert,15,11,55463
East,Bodh Gaya,Beach,2,6,38581
West,Jaisalmer,Religious,8,2,29377
East,Sundarbans,Religious,14,10,34852
Northeast,Majuli,Urban/City,7,5,52462
South,Mysore,Adventure,6,9,11239
Central,Pachmarhi,Hidden Gem,8,3,26921
South,Kodaikanal,Urban/City,4,3,7842
East,Bodh Gaya,Religious,11,7,22333
East,Puri,Wildlife,13,11,42708
Central,Sanchi,Adventure,6,4,9094
Northeast,Cherrapunji,Adventure,14,4,7407
Central,Gwalior,Adventure,3,7,23078
South,Munnar,Hill Station,14,1,39750
North,Jaipur,Hill Station,2,2,39109
Northeast,Tawang,Adventure,15,8,15297
Northeast,Cherrapunji,Wildlife,7,11,38618
East,Guwahati,Urban/City,6,2,32720
Northeast,Tawang,Hidden Gem,6,1,49179
East,Kolkata,Desert,4,1,54022
West,Somnath,Urban/City,6,1,28878
Northeast,Shillong Peak,Trekking,8,11,8051
Central,Bandhavgarh,Urban/City,9,9,7268
East,Konark,Adventure,12,5,49564
Northeast,Shillong Peak,Hidden Gem,8,2,43722
South,Mysore,Urban/City,9,7,12562
East,Konark,Wildlife,10,7,28111
Northeast,Ziro Valley,Hill Station,11,2,52829
Central,Khajuraho,Hidden Gem,10,1,41280
West,Somnath,Desert,7,1,7936
East,Puri,Beach,6,5,52262
North,Nainital,Hill Station,7,7,38966
Central,Sanchi,Historical,13,4,18682
East,Sundarbans,Historical,3,11,57232
East,Konark,Religious,9,5,29257
South,Mysore,Beach,15,7,51607
Central,Gwalior,Hill Station,4,11,4356
East,Sundarbans,Wildlife,10,5,12800
South,Kochi,Hidden Gem,5,12,18722
East,Puri,Hill Station,8,11,14753
East,Sundarbans,Hidden Gem,3,11,44239
East,Gangtok,Urban/City,15,1,9877
South,Munnar,Hidden Gem,13,10,5856
South,Alleppey,Wildlife,6,9,9941
North,Leh,Hill Station,4,5,50725
South,Ooty,Religious,5,2,14221
North,Leh,Desert,12,6,56240
Central,Kanha National Park,Hill Station,7,10,58925
South,Ooty,Historical,6,2,4593
North,Manali,Historical,7,1,43552
East,Sundarbans,Historical,2,11,6018
Central,Bhopal,Historical,9,7,12871
Northeast,Majuli,Desert,6,3,41086
Northeast,Aizawl,Urban/City,2,12,51570
West,Somnath,Urban/City,3,1,26901
East,Shillong,Religious,2,7,7921
West,Jaisalmer,Hill Station,7,8,26522
Northeast,Imphal,Urban/City,15,4,38021
Central,Bhopal,Historical,11,5,56717
West,Gir National Park,Urban/City,5,3,27954
South,Kochi,Beach,2,11,35364
North,Shimla,Historical,2,2,36039
East,Sundarbans,Religious,13,7,11913
North,Rishikesh,Wildlife,6,4,41104
North,Jaipur,Urban/City,7,10,31280
East,Konark,Hidden Gem,11,7,24834
Northeast,Dzukou Valley,Hill Station,15,4,25171
Central,Pachmarhi,Desert,7,5,6542
North,Kullu,Wildlife,3,8,32779
Northeast,Tawang,Desert,2,7,3534
South,Goa,Wildlife,4,3,49601
Central,Kanha National Park,Historical,9,7,17390
Central,Kanha National Park,Desert,4,5,43985
West,Mumbai,Hidden Gem,5,11,44087
South,Munnar,Hill Station,9,10,5305
North,Kullu,Adventure,2,3,29599
North,Rishikesh,Adventure,6,8,25797
North,Shimla,Beach,9,11,51103
North,Rishikesh,Trekking,5,6,9706
South,Kodaikanal,Hill Station,10,10,16855
South,Mysore,Desert,11,3,46107
North,Varanasi,Religious,2,6,30706
South,Goa,Wildlife,9,8,17078
Northeast,Shillong Peak,Desert,3,5,19327
Central,Sanchi,Desert,4,10,38101
North,Dalhousie,Hill Station,9,3,53658
East,Gangtok,Desert,4,5,47762
West,Jaisalmer,Adventure,4,5,10304
East,Guwahati,Urban/City,7,2,42862
East,Kolkata,Historical,8,12,8164
East,Gangtok,Beach,2,6,34668
Northeast,Cherrapunji,Historical,12,2,24071
East,Kolkata,Urban/City,9,4,6912
West,Somnath,Wildlife,11,9,22586
South,Hampi,Historical,7,8,57242
East,Puri,Hill Station,9,3,5171
Central,Pachmarhi,Urban/City,15,10,18001
Northeast,Majuli,Hill Station,8,12,44254
West,Rann of Kutch,Trekking,9,5,13947
South,Munnar,Historical,5,3,34227
South,Kochi,Wildlife,6,4,11556
West,Mount Abu,Wildlife,10,10,35048
East,Puri,Religious,14,5,24470
Central,Kanha National Park,Religious,7,4,40300
West,Rann of Kutch,Hill Station,9,5,6971
North,Shimla,Urban/City,9,10,28191
Northeast,Tawang,Wildlife,4,4,28395
East,Shillong,Adventure,6,8,4748
Central,Kanha National Park,Desert,14,6,19375
North,Manali,Religious,15,4,40400
North,Manali,Beach,6,8,22557
North,Dalhousie,Desert,12,1,14443
North,Varanasi,Adventure,14,3,34665
Northeast,Ziro Valley,Trekking,12,9,29165
North,Dalhousie,Trekking,4,7,36286
East,Kolkata,Trekking,15,1,15712
Northeast,Dzukou Valley,Urban/City,15,11,57291
Northeast,Majuli,Adventure,13,9,30164
East,Konark,Hill Station,10,10,55976
Northeast,Ziro Valley,Religious,3,4,44230
East,Darjeeling,Wildlife,11,5,50484
East,Konark,Urban/City,14,9,30277
North,Shimla,Hill Station,4,2,37724
East,Shillong,Urban/City,12,12,50713
East,Bodh Gaya,Urban/City,7,5,16638
Northeast,Shillong Peak,Religious,6,9,50210
South,Goa,Beach,4,8,34828
North,Shimla,Wildlife,9,10,37349
East,Darjeeling,Trekking,14,8,32526
South,Kodaikanal,Religious,14,4,41369
South,Kochi,Wildlife,15,8,55849
West,Rann of Kutch,Adventure,5,6,27249
Northeast,Kaziranga,Desert,10,3,10386
Northeast,Ziro Valley,Hidden Gem,6,8,51658
South,Kochi,Urban/City,7,11,27614
West,Rann of Kutch,Religious,9,1,13652
Central,Bandhavgarh,Hidden Gem,11,11,25173
East,Kolkata,Wildlife,12,12,48355
North,Varanasi,Wildlife,2,4,35060
Central,Sanchi,Desert,8,12,17993
East,Kolkata,Urban/City,8,6,40173
South,Goa,Historical,13,1,29393
East,Shillong,Hill Station,6,6,25031
Northeast,Majuli,Adventure,6,4,45734
Northeast,Shillong Peak,Religious,6,11,45116
South,Hampi,Hidden Gem,3,12,16634
West,Rann of Kutch,Urban/City,11,6,48774
Northeast,Dzukou Valley,Desert,5,5,57991
South,Munnar,Hidden Gem,13,9,20578
South,Kochi,Historical,13,3,5532
Central,Bhopal,Historical,12,9,38985
East,Shillong,Urban/City,10,8,47772
Northeast,Aizawl,Hill Station,3,9,15297
West,Ahmedabad,Desert,5,4,46196
North,Rishikesh,Hill Station,2,5,31135
West,Somnath,Hidden Gem,9,9,39245
East,Bodh Gaya,Beach,15,2,29343
East,Darjeeling,Hidden Gem,7,12,3086
West,Gir National Park,Desert,14,12,3766
Central,Indore,Trekking,2,4,30706
South,Munnar,Trekking,11,2,55235
South,Munnar,Urban/City,12,1,39494
South,Mysore,Beach,14,11,56415
Northeast,Majuli,Beach,8,10,27409
Northeast,Imphal,Historical,9,3,38746
Northeast,Ziro Valley,Hidden Gem,8,7,46126
South,Munnar,Beach,11,2,3276
South,Kochi,Hidden Gem,6,9,12113
East,Konark,Urban/City,15,5,56888
East,Puri,Urban/City,7,1,14746
South,Kochi,Adventure,9,4,34037
Central,Gwalior,Urban/City,13,2,18667
Central,Khajuraho,Desert,11,9,38818
North,Varanasi,Religious,7,9,40316
Central,Pachmarhi,Trekking,2,6,13570
North,Manali,Adventure,8,10,27975
South,Goa,Beach,7,7,42927
South,Alleppey,Historical,11,12,31762
North,Varanasi,Hidden Gem,7,2,31333
South,Pondicherry,Hill Station,7,10,20106
North,Nainital,Urban/City,3,11,36412
East,Darjeeling,Hill Station,7,1,53690
Northeast,Aizawl,Historical,2,12,46293
South,Coorg,Desert,12,11,33662
East,Konark,Beach,9,4,54283
Northeast,Aizawl,Beach,14,1,18989
Northeast,Aizawl,Trekking,14,11,19444
West,Jaisalmer,Historical,15,7,5033
East,Bodh Gaya,Wildlife,14,6,25315
East,Kolkata,Hill Station,4,6,49522
Northeast,Majuli,Urban/City,6,11,23119
Northeast,Kaziranga,Hidden Gem,14,12,57687
West,Jaisalmer,Trekking,12,11,3331
East,Sundarbans,Beach,5,4,58310
North,Leh,Adventure,6,10,35264
South,Munnar,Urban/City,15,1,27004
East,Gangtok,Trekking,11,4,23640
South,Kochi,Urban/City,8,12,6114
Central,Bandhavgarh,Hill Station,13,1,7046
South,Alleppey,Religious,9,4,58127
West,Udaipur,Beach,7,3,8623
Northeast,Aizawl,Beach,5,1,39623
West,Udaipur,Hill Station,14,5,14681
West,Mount Abu,Adventure,8,3,31987
South,Coorg,Beach,2,10,6167
South,Coorg,Religious,14,2,18843
South,Ooty,Hidden Gem,11,10,11235
South,Munnar,Adventure,2,4,34065
North,Rishikesh,Historical,3,6,19255
East,Konark,Urban/City,7,10,15912
East,Shillong,Desert,11,8,12115
East,Shillong,Desert,2,8,12091
South,Pondicherry,Hidden Gem,13,8,18697
East,Guwahati,Hill Station,4,3,33342
North,Leh,Hill Station,14,8,40945
East,Puri,Hill Station,13,8,36195
East,Konark,Trekking,13,8,23299
North,Agra,Historical,3,8,27100
South,Kochi,Trekking,15,7,23690
Central,Khajuraho,Hidden Gem,5,8,21006
East,Gangtok,Hill Station,8,6,50445
South,Pondicherry,Trekking,9,9,55978
East,Bodh Gaya,Beach,15,10,40268
North,Varanasi,Historical,9,4,14728
East,Puri,Trekking,6,2,40199
South,Ooty,Adventure,11,4,17097
North,Leh,Beach,2,12,33145
North,Rishikesh,Hidden Gem,12,6,24182
East,Shillong,Trekking,5,2,38681
North,Varanasi,Beach,15,12,49417
West,Gir National Park,Hidden Gem,15,7,21049
West,Somnath,Urban/City,13,4,5297
East,Konark,Trekking,15,5,28896
East,Guwahati,Hill Station,9,11,30600
Northeast,Tawang,Religious,11,9,32640
Central,Khajuraho,Religious,13,4,14558
Central,Kanha National Park,Beach,6,9,38225
Northeast,Cherrapunji,Hidden Gem,15,1,8912
South,Kodaikanal,Adventure,15,7,22655
West,Gir National Park,Hidden Gem,11,4,19685
South,Hampi,Religious,8,1,58960
North,Nainital,Hill Station,6,5,16963
East,Shillong,Adventure,2,7,42147
East,Guwahati,Hidden Gem,10,11,18839
North,Leh,Hidden Gem,15,11,58339
Central,Gwalior,Beach,9,6,54230
South,Pondicherry,Hidden Gem,6,10,25552
North,Varanasi,Hill Station,3,2,58187
Central,Bandhavgarh,Hill Station,15,7,22542
East,Sundarbans,Trekking,14,4,58866
South,Goa,Wildlife,8,8,11664
East,Puri,Hill Station,8,10,6004
North,Nainital,Hidden Gem,9,12,41571
Central,Kanha National Park,Hidden Gem,6,11,35902
West,Jaisalmer,Hill Station,9,10,46904
South,Coorg,Trekking,12,6,24146
East,Sundarbans,Historical,3,1,47590
West,Udaipur,Religious,12,11,11480
West,Dwarka,Trekking,9,3,9483
North,Varanasi,Hill Station,5,4,35676
East,Darjeeling,Beach,11,8,30552
East,Gangtok,Hill Station,12,8,4797
West,Jaisalmer,Trekking,11,4,26173
East,Sundarbans,Beach,8,7,52778
Northeast,Tawang,Adventure,15,9,35512
Northeast,Shillong Peak,Historical,14,11,6429
Central,Indore,Trekking,9,11,51341
Central,Bandhavgarh,Historical,11,5,15601
West,Udaipur,Religious,6,9,48737
Central,Khajuraho,Desert,14,3,41863
West,Gir National Park,Religious,14,5,7134
Central,Gwalior,Beach,8,5,39351
Northeast,Ziro Valley,Historical,11,7,33706
North,Varanasi,Historical,10,5,13543
Central,Bandhavgarh,Trekking,8,6,29667
East,Sundarbans,Religious,7,6,52410
South,Hampi,Trekking,6,1,29178
East,Puri,Desert,13,5,23242
Northeast,Kaziranga,Historical,14,7,35669
South,Kochi,Trekking,6,8,58633
West,Gir National Park,Desert,8,5,16319
South,Munnar,Adventure,11,3,49031
Northeast,Ziro Valley,Beach,5,2,56826
Central,Sanchi,Adventure,10,1,19457
North,Shimla,Wildlife,2,12,8571
West,Mumbai,Adventure,3,2,52506
East,Puri,Hidden Gem,10,12,43743
South,Pondicherry,Historical,8,3,34307
West,Mount Abu,Trekking,15,12,32255
West,Dwarka,Beach,13,1,25946
Northeast,Cherrapunji,Religious,5,8,31988
Northeast,Cherrapunji,Trekking,10,10,17584
Northeast,Ziro Valley,Hidden Gem,8,6,50238
West,Gir National Park,Urban/City,8,12,35523
Central,Pachmarhi,Trekking,6,5,8294
West,Mount Abu,Wildlife,15,8,50711
South,Alleppey,Historical,12,10,40344
Northeast,Imphal,Hidden Gem,13,8,45588
North,Manali,Beach,7,6,18659
South,Kodaikanal,Wildlife,2,4,51738
Northeast,Majuli,Hill Station,3,7,47708
Central,Sanchi,Religious,3,11,28599
South,Hampi,Hidden Gem,14,12,53610
West,Rann of Kutch,Trekking,5,12,56935
Central,Bhopal,Hill Station,8,5,45433
East,Konark,Historical,5,3,19730
Central,Gwalior,Religious,12,12,28453
East,Konark,Religious,5,1,13237
North,Varanasi,Hidden Gem,14,2,32724
West,Rann of Kutch,Desert,9,11,30290
South,Mysore,Hidden Gem,6,1,39295
East,Shillong,Adventure,3,4,24640
Central,Khajuraho,Beach,10,5,42426
North,Kullu,Hidden Gem,14,10,55235
East,Darjeeling,Hidden Gem,2,6,20450
East,Kolkata,Desert,8,3,28479
South,Kodaikanal,Historical,14,6,44776
Northeast,Ziro Valley,Historical,12,5,49633
North,Kullu,Beach,2,5,10283
South,Kodaikanal,Urban/City,5,3,11848
West,Mount Abu,Desert,15,11,16475
East,Darjeeling,Trekking,13,2,25689
Northeast,Tawang,Urban/City,4,8,52217
North,Varanasi,Hill Station,14,1,34603
Central,Pachmarhi,Desert,11,5,15305
East,Shillong,Urban/City,5,2,31682
Northeast,Cherrapunji,Urban/City,7,2,30454
East,Shillong,Desert,13,1,58088
South,Coorg,Hill Station,15,10,43377
West,Udaipur,Wildlife,14,10,37495
Northeast,Tawang,Desert,5,8,49690
West,Mount Abu,Religious,7,6,51933
North,Kullu,Trekking,6,8,7328
West,Mount Abu,Hidden Gem,14,9,50969
Central,Khajuraho,Urban/City,6,7,41913
North,Agra,Historical,6,12,57927
South,Ooty,Hill Station,4,9,15529
South,Kochi,Historical,7,11,30754
Central,Sanchi,Adventure,3,3,53417
Northeast,Aizawl,Hidden Gem,13,7,33624
North,Manali,Desert,4,12,24002
East,Shillong,Adventure,2,6,23805
North,Nainital,Trekking,7,9,58886
North,Nainital,Wildlife,14,4,43405
West,Dwarka,Desert,11,7,8054
Central,Bandhavgarh,Hidden Gem,11,10,4148
North,Dalhousie,Historical,8,3,53325
South,Munnar,Urban/City,6,12,21532
Northeast,Kaziranga,Historical,5,12,7808
Northeast,Ziro Valley,Hill Station,11,12,52551
West,Dwarka,Trekking,14,1,13398
North,Kullu,Historical,13,11,11430
North,Dalhousie,Desert,4,1,14780
South,Alleppey,Religious,6,7,12837
North,Shimla,Adventure,15,12,24180
Northeast,Majuli,Hidden Gem,9,6,14273
West,Somnath,Beach,11,11,53726
East,Bodh Gaya,Religious,12,7,9302
East,Sundarbans,Wildlife,4,5,39420
South,Munnar,Trekking,13,7,21702
West,Somnath,Religious,9,9,34053
West,Mumbai,Religious,8,12,16519
North,Dalhousie,Hill Station,10,2,50781
West,Jaisalmer,Religious,12,12,34998
Northeast,Aizawl,Hill Station,8,10,51433
Northeast,Dzukou Valley,Historical,8,8,58437
South,Coorg,Desert,8,9,53249
East,Guwahati,Wildlife,8,10,3462
Central,Indore,Hidden Gem,12,7,56717
Central,Bandhavgarh,Desert,6,1,10917
South,Ooty,Desert,10,8,37047
West,Gir National Park,Desert,14,11,27718
Northeast,Aizawl,Religious,4,9,21727
Northeast,Imphal,Desert,9,9,43909
Northeast,Dzukou Valley,Trekking,6,4,30220
North,Rishikesh,Hidden Gem,7,7,15069
South,Kochi,Hidden Gem,15,4,57594
Northeast,Dzukou Valley,Wildlife,9,4,12435
South,Munnar,Trekking,12,11,13923
Northeast,Cherrapunji,Trekking,3,12,14681
North,Agra,Adventure,10,10,59142
North,Manali,Hidden Gem,2,7,23875
South,Hampi,Religious,7,7,52772
Northeast,Kaziranga,Urban/City,9,4,29636
Northeast,Majuli,Wildlife,15,8,18789
West,Jaisalmer,Hidden Gem,5,3,5647
Northeast,Dzukou Valley,Hill Station,7,7,16493
East,Darjeeling,Wildlife,14,9,31491
North,Shimla,Wildlife,14,8,7542
North,Shimla,Religious,2,3,37805
West,Mount Abu,Wildlife,4,7,9228
Northeast,Imphal,Beach,8,10,29296
West,Udaipur,Religious,12,10,11400
East,Guwahati,Trekking,4,8,7101
East,Darjeeling,Desert,8,2,13850
West,Ahmedabad,Wildlife,14,2,29254
Northeast,Cherrapunji,Beach,5,11,57485
East,Shillong,Desert,2,3,54484
North,Agra,Hidden Gem,15,2,56495
Northeast,Tawang,Hill Station,7,3,15928
North,Manali,Adventure,11,9,21210
North,Nainital,Historical,15,9,35860
East,Kolkata,Trekking,4,7,52775
West,Gir National Park,Hidden Gem,2,11,41403
East,Gangtok,Urban/City,13,8,19939
North,Shimla,Desert,10,3,15149
South,Kodaikanal,Religious,3,7,59913
North,Varanasi,Religious,10,8,10295
North,Rishikesh,Hill Station,9,6,52617
West,Somnath,Trekking,13,7,25650
South,Munnar,Historical,4,4,23127
North,Rishikesh,Hill Station,11,3,50204
West,Dwarka,Adventure,5,5,51553
East,Guwahati,Hill Station,2,7,25975
South,Ooty,Adventure,5,9,53425
North,Jaipur,Religious,3,8,28884
North,Dalhousie,Trekking,4,9,25751
Central,Pachmarhi,Historical,10,10,34057
South,Goa,Desert,4,10,13335
Northeast,Ziro Valley,Historical,9,4,27136
West,Mount Abu,Desert,7,5,15065
Central,Sanchi,Trekking,5,5,14849
South,Munnar,Hidden Gem,15,11,3975
South,Kochi,Trekking,2,5,19139
East,Gangtok,Religious,5,1,39642
Northeast,Ziro Valley,Desert,4,2,43608
East,Puri,Wildlife,8,7,25193
South,Pondicherry,Urban/City,9,4,14675
Central,Sanchi,Religious,13,8,5606
Northeast,Aizawl,Wildlife,13,9,26251
North,Nainital,Adventure,12,4,35495
Central,Gwalior,Hidden Gem,7,8,10756
Northeast,Ziro Valley,Beach,3,2,24294
Northeast,Cherrapunji,Wildlife,10,5,55813
West,Mount Abu,Hidden Gem,9,4,27874
Central,Pachmarhi,Wildlife,13,9,33716
Northeast,Majuli,Wildlife,3,4,52341
Northeast,Ziro Valley,Desert,12,6,37814
North,Leh,Hill Station,2,8,47043
West,Udaipur,Historical,3,3,4019
East,Shillong,Hill Station,9,5,54124
East,Konark,Historical,11,10,24880
Central,Bhopal,Hidden Gem,13,10,19339
Northeast,Majuli,Urban/City,11,11,50804
Central,Indore,Hidden Gem,15,8,17525
West,Dwarka,Hidden Gem,4,6,32859
South,Pondicherry,Wildlife,2,4,30300
Northeast,Cherrapunji,Urban/City,4,2,7687
West,Somnath,Adventure,3,7,17129
West,Udaipur,Hill Station,4,9,9028
South,Alleppey,Religious,8,12,49872
East,Kolkata,Religious,5,5,20651
Central,Gwalior,Hill Station,7,3,21731
East,Puri,Wildlife,2,10,53177
Central,Kanha National Park,Hidden Gem,10,1,18809
West,Mount Abu,Religious,14,8,35415
West,Jaisalmer,Urban/City,12,1,21687
North,Manali,Beach,2,11,46371
West,Somnath,Hidden Gem,9,12,36899
East,Gangtok,Urban/City,14,12,19045
North,Leh,Religious,12,3,38654
North,Rishikesh,Hill Station,9,4,33372
Central,Sanchi,Hill Station,8,8,32625
Central,Pachmarhi,Desert,5,12,36071
North,Kullu,Wildlife,5,9,35749
South,Kochi,Historical,11,11,5535
West,Mount Abu,Beach,2,9,27483
North,Manali,Wildlife,15,11,58720
West,Gir National Park,Desert,2,3,25394
West,Mumbai,Desert,14,7,58056
Central,Bandhavgarh,Adventure,5,5,12880
North,Rishikesh,Desert,4,1,33916
East,Gangtok,Hill Station,7,6,48619
West,Udaipur,Desert,8,10,30736
West,Gir National Park,Desert,11,10,48673
East,Gangtok,Urban/City,11,11,57949
Northeast,Aizawl,Urban/City,12,5,7198
Northeast,Imphal,Beach,6,2,47832
Northeast,Kaziranga,Historical,11,2,34204
Northeast,Dzukou Valley,Beach,5,7,55004
South,Ooty,Historical,10,7,29929
North,Varanasi,Beach,4,1,21740
